data,torneo,home,away,elo_h,elo_a
24/1/25,uk - league 2,barrow,grimsby,1850.52,1785.42
24/1/25,,abc,America rn,1692.09,1638.45
24/1/25,,plaza amador,arabe unido,1655.01,1579.14
24/1/25,brasile - campionato paulista a2,linense,rio claro,1568.91,1535.65
24/1/25,spagna - segunda division,granada,sporting gijon,1969.57,1912.2
24/1/25,italia - serie a,lazio,fiorentina,2277.36,2179.54
27/1/25,brasile - campeonato paulista,guarani,noroeste,1720.46,1615.55
1/2/25,,millwall,qpr,2029.95,1957.01
27/1/25,,getafe,Siviglia,2152.87,2113.38
27/1/25,,wehen,VfB stoccarda 2,1918.67,1819.71
27/1/25,germania - bundesliga 2,eintracht francoforte,wolfsburg,2291.57,2187.71
27/1/25,spagna - la liga,valencia,celta vigo,2157.22,2098.86
27/1/25,spagna - segunda division,eibar,deportivo la coruna,1951.39,1883.61
27/1/25,francia - ligue 1,marsiglia,lione,2248.96,2161.07
27/1/25,brasile - campeonato sergipano,confianca,lagarto,1717.01,1588.12
27/1/25,uk - championship,middlesbrough,sunderland,2151.84,2127.87
6/2/25,,cariari pococi,guadalupe fc,1603.31,1590.59
6/2/25,,aparedicense,crac,1693.33,1659.82
6/2/25,guatemala - liga nacional,marquense,coban imperial,1674.02,1590.31
7/2/25,turchia - 1 lig,genclerbirligi,esenler erokspor,1839.41,1742.84
7/2/25,francia - ligue 2,rodez,sc bastia,1857.92,1841.37
7/2/25,spagna - segunda division,albacete balompie,real Saragozza,1919.97,1862.61
7/2/25,polonia - ekstraklasa,pogon szczecin,gornik zabrze,1958.81,1880.29
8/2/25,brasile - campeonato paulista,portuguesa,inter de limeira,1708.84,1610.16
8/2/25,honduras - lega nazionale,real espana,cd marathon,1647.08,1583.51
8/2/25,marocco - gnf 2,stade marocain du rabat,usm oujda,1606.03,1485.61
9/2/25,panama - lpf,tauro fc,plaza amador,1622.32,1611.99
9/2/25,messico - liga de expansion,jaiba brava,cancun fc,1666.57,1584.93
9/2/25,portogallo - primera liga,arouca,rio ave,1991.42,1893.6
9/2/25,uk - isthmian premier division,whitehawk,hendon,1500.39,1434.24
9/2/25,el salvador - clausura,municipal limeno,cd cacahuatique,1514.82,1474.56
14/2/25,francia - ligue 2,amiens,grenoble,1823.62,1760.91
14/2/25,francia - ligue 1,brest,auxerre,2078.05,2014.16
14/2/25,uk - championship,qpr,derby,2017.8,1901.68
15/2/25,thailandia - premier league,nong bua pitchaya,nakhon ratchasima,1746.12,1660.03
15/2/25,Serbia - prva liga,borac cacak,fk radnick surdulica,1601.79,1534.0
15/2/25,Algeria - 2 divisione,asm oran,na Hussein dey,1538.84,1427.33
15/2/25,croazia - 1. nl,orijent,opatija,1610.05,1462.38
15/2/25,germania - bundesliga,union berlino,borussia m'gladbach,2213.85,2142.07
15/2/25,uk - league 1,barnsley,huddersfield,1997.36,1963.85
15/2/25,grecia - superleague,ofi creta,asteras tripolis,1911.72,1865.08
16/2/25,turchia - 2 lig kirmizi,Ankara demirspor,Karaman,1597.63,1551.44
